title;text
los colmillos del tiburón;un día en la selva tropical de américa latina los animales decidieron hacer un gran torneo para ver quien era el más fuerte de todos y un representante de cada animal fue a participar en el torneo días antes de que comenzara el torneo un tiburón que nadaba por la costa escuchó a una gaviota hablar sobre el tema y al sentirse el más fuerte de todos los animales el tiburón decidió participar en el torneo cuando el resto de los animales se enteraron de la participación del tiburón se burlaron de él porque pensaron que no tendría oportunides de ganar al asumir que solo podría derrotar a sus oponentes en el agua pero cuando el torneo comenzó y el tiburón demostró su gran fortaleza saltando desde el mar y atacando a sus oponentes en la tierra el resto de los animales sintieron miedo y se aliaron para intentar sacar al tiburón con cada oportunidad que se presentaba el resto de los animales atacaban al tiburón y este perdía un colmillo pero a pesar de debilitarlo el tiburón no se rendía y seguía creyendo en sí mismo y dando lo mejor de sí así que sin perder su fe el tiburón recibió ataque tras ataque y fue perdiendo sus colmillos uno a uno sin embargo la perseverancia del tiburón dio frutos porque a pesar de todos los ataques que recibía logró mantenerse en el juego y llegar a la final en el que se enfrentaría contra el temible jaguar que era el único otro animal que había logrado mantenerse en el torneo gracias a su agilidad y cabeza fría para entonces al tiburón no le quedaba ningún colmillo en su boca por todos los ataques que había recibido mientras que el jaguar estaba en su mejor condición para ganar porque estaba confiado que al ser un felino ganarle al tiburón sin dientes sería como cazar a un pez dorado en una pecera de tal forma cuando la última batalla comenzó el jaguar usó sus garras y velocidad para atacar al tiburón y sacarle la delantera pero a pesar de todo y de que el jaguar le estaba dando una paliza el tiburón no se rindió y siguió luchando sin perder su fe de pronto cuando el jaguar se preparaba para dar el golpe final todos los colmillos del tiburón crecieron de nuevo en su boca más filosos y cortantes que nunca y de un mordisco el tiburón que nunca se había rendido y siempre creyó en sí mismo terminó la batalla convirtiéndose en el ganador y en el animal más fuerte de toda la selva trópical de america latina
el ladrón sonámbulo;oh no recordaba haber dejado este dinero ahí se decía contando los billetes y monedas que se encontraba casi todas las mañanas en el bolsillo de su pantalón
la mejor cita;pasaron la fría noche sentados en el techo de la casa viendo las estrellas estudiando las constelaciones y hablando de sus vidas su pasado presente y lo que esperaban que sería el futuro hasta que el sol comenzó a salir y el cielo se empezó a teñir de rojo y naranja con el amanecer discúlpame sé que no es la mejor cita pero shhh no digas más es la primera vez que veo el amanecer y lo siento tan cálido
recuerdos del viernes 13;sentado junto a su ventana miró al cielo y se percató de la brillante luna llena luego miró el calendario y al ver que era viernes 13 sonrió con nostalgia si mal no recordaba habían pasado 13 años desde la ultima vez que había visto una luna llena en un viernes 13 recordó como la mañana de ese viernes su mamá le había sugerido que usara un amuleto de la buena suerte antes de salir de casa pero él le había rechazado la lagartija disecada que ella le quería meter en el bolsillo de su camisa porque en aquel entonces no creía en nada de eso también recordó como todos sus amigos rechazaron su invitación para salir a cenar esa noche porque todos preferían querdarse en casa ese viernes 13 de luna llena sonrió al recordar lo testarudo y escéptico que era hace 13 años porque solía pensar que todos los creyentes eran tontos pero ese mismo viernes 13 todo cambio para él haciendo caso omiso de todas las advertencias que le dijeron sobre ese día él decidió dar un paseo nocturno por el parque y de pronto cuando se detuvo sobre el puentecito del lago a contemplar la luna llena brillar en su punto más alto sintió un fuerte dolor en su pierna como si se la desgarraran al bajar la ojos pegó un grito de horror un lobo se había acercado sigilosamente a donde él estaba y le tenia los colmillos clavados en la pierna tras darle un patada con él otro pie el lobo se alejó aullando y él cayó semi desmayado al puente porque el dolor de la pierna ahora se extendía por todo su cuerpo luego recordó lo dolorosa que había sido su primera transformación y lo brutal que había sido esa noche su primera noche como hombre lobo por muchos años recordó esta serie de eventos que sucedieron en aquel viernes 13 con amargura pero ahora no puede evitar pensar que ese viernes 13 fue el mejor día de su vida
el error médico;me acerqué al ataúd de mi mejor amigo y las lágrimas empezaron a caer por mis mejilla era tan joven dijo entre suspiros su hermana sí no lo puedo creer respondí sonándome la nariz y todo por un error médico se quejó la hermana qué le pregunté confundido yo pensaba que su novia lo no fue por culpa del médico me interrumpió amargamente sabias que se estaba quedando calvo sí lo sabía él estaba muy preocupado por eso le respondí pero qué tiene que ver con su muerte todo por culpa del médico fue que murió me aseguró no entiendo si en las noticias salió que su novia hace dos semanas empezó el tratamiento contra la alopecia continuó sin prestarme mucha atención y como tenía miedo de ir solo y su novia no podía acompañarlo se llevó a claudia la otra a consulta sí él me dijo que lo acompañara pero ese día yo no podía entonces tú eres tan culpable como el médico me acusó qué tiene que ver el médico con todo eso le pregunté porque no entendía su acusación todo mi hermano murió por su culpa insistió ella esta vez me quedé callado y esperé a que continuara hace dos días volvió a la clínica para la segunda fase de su tratamiento pero esta vez cristina su novia insistió en acompañarlo y fueron juntos pero el estupido del médico cometió el error de no diferenciarlas y llamó claudia a cristina y le dijo que le alegraba verla de nuevo en la segunda fase del tratamiento porque el apoyo de las parejas ayudaba mucho así que cristina descubrió todo y cuando regresaron a caso en un haz de pasión mató a mi pobre hermano y todo por culpa de ese médico gritó dándole un un puñetazo al ataúd un maldito error médico
las pecas vs las estrellas;le gustaba comparar sus pecas con las estrellas y repetir con su dedo o con su boca las constelaciones en su piel como si fuera el cielo nocturno y a pesar de que las estrellas brillan y son infinitas prefería sus pecas porque a diferencia de las estrellas las tenía cerca
las lagartijas;100 lagartijas le ordenó el teniente qué es eso preguntó el cadete confundido flexiones de pecho cadete hágame 100 flexiones de pecho 98 99 y 100 gritó un rato después terminando de contarlas y exhausto con los brazos ardiendo se dejó caer sobre su pecho con los brazos estirados y la lengua afuera por el cansancio cadete lo regañó el teniente al verlo qué hace tirado como una lagartija en el suelo y en ese momento comprendió porqué le decían así a las flexiones de pecho
la carne del rey;cuando los buitres que vivían en los árboles cerca del palacio vieron cómo la población enfurecida lanzaban al rey por la ventana de la torre más alta sonrieron de felicidad y desplegaron sus alas mientras se acercaban volando en círculos al cadaver del rey sus picos se les hacían agua porque por años y años habían visto como los demás humanos servían y trataban al rey con delicadeza y devoción así que pensaron que su carne debía ser especial más sabrosa y jugosa que la de los demás sin embargo cuando finalmente aterrizaron y empezaron a picotear el cuerpo del rey los buitres empezaron a quejarse entre ellos meh esta carne sabe igual que la de los esclavos que matan en la mazmorras dijeron decepcionados
la peor tormenta;despertó exaltado y sudoroso el estruendo de la tormenta había interrumpido su sueño pero cuando se asomó por la ventana vio que el sol brillaba y que hacía un día hermoso sin embargo cuando cerró los ojos volvió a escuchar el silbido del viento y los truenos retumbar en su cabeza oh no balbuceó soltando un triste suspiro porque estaba seguro que aquella tormenta la peor de todas se acercaba
el matador de moscas;en medio del bosque en un claro muy difícil de acceder había una pequeña aldea llena de hombres y mujeres trabajadores que vivían feliz venerando a los diferentes dioses y espíritus del bosque pero un día mientras todos los aldeanos estaban en misa vieron como el sacerdote mató siete moscas de un solo ataque con su libro de oraciones instantáneamente el cielo se oscureció y de él descendió una gigantesca y grotesca mosca que al ver a sus siete súbditos muertos maldijo a la aldea con una plaga de moscas que nunca los dejaría comer dormir ni vivir en paz y luego ascendió a los cielos y desapareció tan rápido como había llegado los aldeanos se sintieron aterrados muchos gritaban de horror mientras otros se desmayaban pero entre ellos había un joven que amaba matar moscas y como odiaba su trabajo pastoreando las ovejas se paró en frente de todos y les dijo aldeanos no temáis yo os propongo que de ahora en adelante dejar mi trabajo de pastor y en cambio convertirme en matador de moscas para librarnos de tan terrible maldicion los aldeanos aceptaron la propuesta del joven y fue librado de su trabajo de pastor y desde ese mismo momento en el cual cientos y miles de moscas empezaron a llegar zumbando por la aldea tomó su mata moscas para comenzar la matanza al día siguiente todos los aldeanos se reunieron a lo que salió el sol y el joven anunció el día de ayer maté más de dos mil moscas y los aldeanos los aplaudieron y lo felicitaron pero esas dos mil no fueron suficiente porque así como las mataba más moscas llegaban zumbando a la aldea el segundo día el joven mató más de 7 mil moscas y el tercero más de 13 mil ante tales números los aldeanos lo aplaudían y felicitaban por su trabajo pero a medida que pasaban las semanas y las moscas no se acababan los aldeanos empezaron a quejarse del joven porque al verlo divertirse y disfrutando tanto matar moscas todo el día alegaron que no hacía más que jugar con las moscas sin hacer nada productivo par la aldea de tal forma acordaron que como su trabajo de matador de moscas no era suficiente contra la maldicion de la mosca gigante el joven debería regresar a su antiguo trabajo de pastor o de lo contrario debería dejar la aldea porque ellos no podían albergar a alguien sin trabajar al escuchar la decisión de los aldeanos el joven se sintió ofendido porque a pesar de que era cierto que él se divertía haciendo su trabajo de matador de moscas no era una labor fácil matar más de 16 mil moscas al día así que decidió dejar la aldea y no volver nunca más los aldeanos expulsaron al joven de la aldea y luego celebraron su partida porque según ellos se habían librado de un “aprovechado” pero a medida que las horas pasaban lo empezaron a echar de menos porque las moscas seguían llegando a la aldea y sin nadie que las matara sumaban y sumaban más a cada momento al día siguiente los aldeanos se arrepintieron de su decisión en contra del joven al verse inundados de moscas y algunos fueron a buscarlo al bosque para pedirle que regresara pero sin importar cuanto lo buscaran o llamaran no lo encontraron y ninguno de los otros aldeanos era tan bueno matando moscas como lo era el joven que se había ido eventualmente fueron tantas las moscas que llegaron a la aldea que poco a poco todos fueron muriendo por accidentes por que las moscas no los dejaban ver enfermedades que las moscas traían y hasta asfixia porque eran tantas las moscas que habían llegado a la aldea que se le metían en la boca y la nariz a la gente y no los dejaban respirar así que de la aldea no quedó nada porque las moscas se devoraron todo y respecto al joven matador de moscas nadie sabe qué pasó con él luego de que dejó la aldea
el apocalipsis alienígena;en solo cuestión de segundos las nubes se disiparon y 7 gigantescas naves espaciales aterrizaron alrededor de la tierra en canadá francia italia alemania japón reino unido y estados unidos lo cual causó gran conmoción a la población todos estaban aterrados esperaban lo peor durante los primeros días representantes de cada país intentaron comunicarse con las naves y sus posibles tripulantes alienígenas pero sin importar los medios de comunicación que usaran ni los diferentes lenguajes o códigos conocidos por los humanos no pudieron establecer un contacto a medida que pasaban los días y las semanas la población sintió más y más miedo y ansiedad porque temían que en cualquier momento las naves podrían empezar un ataque tan fugaz como su aparición y acabar con la tierra o peor aún con la humanidad en un abrir y cerrar de ojos por esto millones de personas empezaron a protestar por todo el mundo para que los gobiernos y la milicia tomaran cartas en el asunto para expulsar las naves alienígenas del planeta guiados por el miedo y la presión social los gobiernos de los paises decidieron atacar las naves alienígenas primero intentaron dispararle balas pero el material con el que estaban hechas era un metal muy extraño y fuerte que hizo que las balas rebotaran y en cambio hirieran a quienes habían disparado al ver lo sucedido los gobernantes se tomaron este suceso personal y consideraron que los alienígenas los estaban retando a pesar de que no se había detectado ningún movimiento o contraataque de parte de las naves así que organizaron un segundo ataque esta vez con misiles y explosivos pero al igual que el primer ataque todo lo que dispararon y lanzaron a las naves alienígenas rebotó y cayó sobre los tanques y bases militares desde donde las habían atacado enojados por lo que había pasado los gobernantes sentían que los alienígenas se estaban burlando de ellos de tal forma para tratar de reír de último organizaron un gran ataque nuclear con el que estaban seguros que destruirían las naves invasoras y salvarían el planeta sin embargo igual que como había pasado con los misiles y los disparos cuando lanzaron las bombas y misiles nucleares contra las naves alienígenas estas rebotaron y cayeron sobre la tierra destruyendo todo y acabando hasta con el más mínimo rastro de la humanidad
la persona tóxica;de pronto mientras hablábamos cambió de tema bruscamente y me dijo a mi no me gustan las personas tóxicas yo a las personas tóxicas las elimino de mi vida yo no entendí a que se refería con el término de “personas tóxicas” pero me sorprendió mucho al ver que cada vez que lo utilizaba de su boca salía un viscoso líquido de color verde brillante las personas tóxicas lo único que hacen es criticar y no traen nada más que chismes y cosas negativas a tu vida por eso a las personas tóxicas yo ni les hablo continuó diciendo esta vez además de por su boca por sus ojos empezó a brotar el mismo líquido viscoso cada vez que decía “personas tóxicas” porque las personas tóxicas te enferman te contaminan tu ambiente sentimental y te contagian con su toxicidad por eso a las personas tóxicas hay que cortarlas añadió mientras el líquido verde empezaba a salir también pos su nariz y oídos cada vez que yo veo a una persona tóxica me alejo disculpame un momento afortunadamente le repicó el teléfono y yo aproveché la oportunidad para escabullirme y escaparme todavía sin entender nada de eso de las “personas tóxicas” aunque mientras me alejaba voltié la mirada y lo comprendí todo porque para entonces ya todo su cuerpo estaba cubierto por aquel viscoso líquido verde brillante
